CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291500,2014,2014-10-29,3711,2014-08-06,1624,4653,,3,5,7,3711,0,0,0,,0,241,"SCRIPPS LAKE DR","LAKE MIRAMAR ACCESS RD",0.00,,N,A,-,N,,,,,,,,,,N,3,0,1,2,B,-,22,,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.10359424000001,32.911903940000002
6291600,2014,2016-01-12,3711,2014-10-07,2312,5051,,2,5,7,3711,0,0,0,,0,611,"HANCOCK ST","CAMINO DEL RIO W",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,B,-,22,,,N,H,G,A,A,H,-,D,A,0,,Y,,,Y,Y,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.20508012000001,32.754250120000002
6291825,2014,2015-01-09,3711,2014-11-09,1729,6366,,7,5,7,3711,0,0,0,,0,813,"LINCOLN AV","HAMILTON ST",29.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,1,A,-,03,22350,,N,H,G,A,A,G,-,C,D,0,,Y,,,Y,Y,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.136246,32.750300750000001
6328108,2014,2014-06-02,3711,2014-01-04,1849,4495,,6,5,7,3711,0,0,0,,0,311,"MISSION CENTER RD","MURRAY RIDGE RD",634.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,,N,A,G,A,A,H,-,D,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.14674256000001,32.789146240000001
6337228,2014,2014-06-05,3711,2014-01-10,1754,6430,SANDI,5,5,7,3711,0,0,0,,0,124,"LA JOLLA PKWY","TORREY PINES RD",9504.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,03,22350,,N,E,-,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.23314999999999,32.833449999999999
6337491,2014,2014-07-08,3711,2014-01-02,1450,6538,,4,5,7,3711,0,0,0,,0,822,"56TH ST","EL CAJON BL",60.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,-,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.07492431999999,32.758305700000001
6337511,2014,2014-07-08,3711,2014-01-11,1320,4527,,6,5,7,3711,0,0,0,,0,515,"25TH ST",MARKET,114.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,03,22350,,N,-,G,A,A,A,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.1402496,32.711288189999998
6337525,2014,2014-06-04,3711,2014-01-12,1827,6113,,7,5,7,3711,0,0,0,,0,521,"IMPERIAL AV","16TH ST",12.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,-,,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.14948888000001,32.70628043
6337541,2014,2014-06-04,3711,2014-01-13,2323,5850,,1,5,7,3711,0,0,0,,0,311,"VILLAGE GLEN DR","GLENCOLUM DR",300.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,B,G,A,A,H,-,C,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.13249694,32.804964740000003
6341081,2014,2014-06-02,3711,2014-01-02,2129,6736,"SAN D",4,5,7,3711,0,0,0,,0,512,"27TH ST",IMPERIAL,15.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,C,D,0,,Y,,,Y,,-,,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.13599000000001,32.706411090000003
