CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6291500,1,4,Y,M,72,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,0,N,,-,L,"4 ",,A,,-,-,2014
6291500,2,4,N,M,38,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,H,,-,-,2014
6291600,1,4,Y,M,57,B,-,E,-,-,O,-,3,-,,44,21657,,A,M,1,0,Q,,-,L,"4 ",,W,,-,-,2014
6291600,2,1,N,M,48,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,JEEP,A,"7 ",,H,,-,-,2014
6291825,1,4,Y,M,55,D,-,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,"4 ",,W,,-,-,2014
6328108,1,4,Y,M,41,A,-,W,-,-,O,-,3,-,,21,21208,A,A,-,0,1,N,,-,L,"4 ",,W,,-,-,2014
6328108,2,1,N,M,60,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2003,BMW,A,"1 ",,W,,-,-,2014
6337228,1,4,Y,M,50,-,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6337491,1,4,N,M,7,H,H,W,-,-,O,-,3,-,-,"- ",,,F,-,0,1,L,,-,L,"4 ",,H,-,-,-,2014
6337491,2,1,N,M,62,H,H,S,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,A,2009,MERCURY,-,,,W,,-,-,2014
6337511,1,4,Y,F,31,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6337525,1,1,Y,M,77,A,-,E,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,E,2008,HONDA,-,,,W,,-,-,2014
6337525,2,4,N,F,24,A,-,W,-,-,O,-,3,-,,39,21201,D,A,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6337541,1,4,Y,M,53,B,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,B,,-,-,2014
6337541,2,3,N,-,998,H,H,-,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2010,TOYOTA,-,,,,,-,-,2014
6341081,1,1,Y,M,41,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,F,2007,CHEVROLET,-,,,H,,-,-,2014
6341081,2,4,N,F,17,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,E,,-,L,"4 ",,H,,-,-,2014
6341117,1,4,Y,M,24,C,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6341117,2,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2002,KAWASAKI,-,,,,,-,-,2014
6344815,1,4,Y,M,26,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6351400,1,4,Y,F,20,A,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,"4 ",,B,,-,-,2016
6351400,2,1,N,F,43,A,-,N,M,G,Y,-,-,-,-,"- ",,,E,-,0,0,H,1999,FORD,-,,,B,,-,-,2016
6351412,1,4,Y,F,16,B,-,S,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,"4 ",,H,,-,-,2016
6351412,2,1,N,M,41,A,-,E,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,B,2011,CHRYSLER,A,"1 ",,H,,-,-,2016
6352416,1,4,N,M,47,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,N,,-,L,"4 ",,H,,-,-,2014
6352416,2,1,N,M,21,A,-,W,G,-,N,-,-,-,-,"- ",,,N,-,0,0,B,2001,VOLKSWAGEN,-,,,H,,-,-,2014
6352443,1,4,Y,M,49,D,-,N,-,-,O,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6352443,2,1,N,F,19,A,-,E,N,G,Y,-,3,-,-,"- ",,,H,-,0,0,E,2000,TOYOTA,-,,,W,,-,-,2014
6352448,1,4,Y,M,54,G,G,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,Q,,-,L,"4 ",,W,,-,-,2014
6352448,2,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2005,MERCURY,-,,,,,-,-,2014
6352455,1,4,Y,F,39,A,-,W,-,-,O,-,3,-,-,"- ",,,H,N,0,2,D,,-,L,"4 ",,W,,-,-,2014
6352472,1,4,Y,F,17,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,H,,-,-,2014
6352472,2,1,N,F,27,H,H,S,P,V,Y,-,-,-,-,"- ",,,N,-,0,0,B,2003,CHEVROLET,-,,,H,,-,-,2014
6352476,1,4,Y,M,25,A,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6352476,2,1,N,F,35,A,-,W,M,E,Y,-,-,-,-,"- ",,,-,-,0,0,B,2007,NISSAN,-,,,,,-,-,2014
6352660,1,4,N,F,16,A,-,E,-,-,O,-,3,-,-,"- ",,,F,-,0,1,B,,-,L,"4 ",,W,-,-,-,2016
6352660,2,1,Y,M,26,A,-,N,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2003,MERCEDES-BENZ,A,"1 ",,B,,-,-,2016
6353287,1,4,Y,F,13,A,-,W,-,-,O,-,3,-,-,"- ",,,-,-,0,1,Q,,-,L,"4 ",,W,,-,-,2016
6353287,2,1,N,F,47,A,-,N,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,D,2008,NISSAN,-,,,W,,-,-,2016
6353397,1,2,Y,M,63,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2014
6353397,2,4,N,M,57,B,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6353409,1,1,Y,M,24,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2006,BMW,A,"1 ",,A,,-,-,2014
6353409,2,4,N,M,28,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,"4 ",,W,,-,-,2014
6359294,1,4,Y,M,50,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6359294,2,1,N,M,40,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2007,PETERBILT,-,,,W,,-,-,2014
6370205,1,1,Y,F,22,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2006,HONDA,-,,,,,-,-,2014
6370205,2,4,N,M,40,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6373001,1,4,Y,M,21,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6373001,2,4,N,M,27,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,0,B,,-,L,"4 ",,W,,-,-,2014
6373219,1,1,Y,F,20,A,-,W,M,G,Y,-,3,-,-,"- ",,,G,-,0,0,D,2009,VOLKSWAGEN,-,,,W,,-,-,2014
6373219,2,4,N,M,28,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6373247,1,4,Y,M,39,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,H,,-,-,2014
6373247,2,1,N,F,29,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,A,2014,MAZDA,A,"1 ",,W,,-,-,2014
6373275,1,4,N,M,57,D,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6376513,1,4,Y,M,61,A,-,N,-,-,O,-,-,-,-,"- ",,,M,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6376513,2,1,N,M,50,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2004,CHEVROLET,-,,,B,,-,-,2014
6376644,1,4,Y,M,21,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,"4 ",,W,,-,-,2014
6376644,2,1,N,F,28,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,TOYOTA,-,,,W,,-,-,2014
6376656,1,4,Y,M,38,B,-,S,-,-,O,-,3,-,,20,21200,5,A,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6376660,1,4,Y,M,18,A,-,E,-,-,O,-,-,-,-,"- ",,,M,-,0,1,E,,-,L,"4 ",,H,,-,-,2014
6376660,2,1,N,-,998,G,G,S,-,-,,-,-,-,-,"- ",,,M,-,0,0,B,,-,-,,,,,-,-,2014
6381870,1,4,Y,M,49,C,-,S,-,-,O,-,3,-,-,"- ",,,K,-,0,1,D,,-,L,"4 ",,W,,-,-,2014
6381870,2,1,N,M,68,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1969,CHEVROLET,-,,,W,,-,-,2014
6381882,1,1,Y,M,65,A,-,N,M,E,Y,-,3,-,-,"- ",,,F,-,0,0,D,2004,TOYOTA,-,,,W,-,-,-,2014
6381882,2,4,N,M,53,A,-,W,-,-,O,-,3,-,,27,21650,1,A,-,0,1,Q,,-,L,"4 ",,A,,-,-,2014
6381885,1,1,Y,F,22,A,-,S,M,G,N,-,3,-,-,"- ",,,N,-,0,0,D,2013,CHEVROLET,-,,,W,,-,-,2014
6381885,2,4,N,M,53,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6381901,1,4,Y,M,62,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,J,,-,L,"4 ",,W,,-,-,2014
6381901,2,1,N,F,59,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2010,TOYOTA,A,"1 ",,W,,-,-,2014
6389570,1,4,N,M,48,A,-,W,-,-,O,-,3,-,-,"- ",,,M,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6400194,1,1,Y,M,45,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,HONDA,J,48,,H,,-,-,2014
6400194,2,4,N,M,61,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,"4 ",,W,,-,-,2014
6400297,1,4,N,M,51,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,"4 ",,W,,-,-,2014
6400305,1,4,Y,F,47,A,-,E,-,-,O,-,3,-,-,"- ",,,J,-,0,1,A,,-,L,"4 ",,W,,-,-,2014
6400326,1,4,Y,F,46,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,J,,-,L,"4 ",,W,,-,-,2014
