CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6291500,2,1,4,M,38,3,1,W,-,0,"SAN DIEGO","SAN DIEGO",2014
6291600,1,1,4,M,57,1,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6291825,1,1,4,M,55,1,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6328108,1,1,4,M,41,3,1,-,V,1,"SAN DIEGO","SAN DIEGO",2014
6337228,1,1,4,M,50,3,9,-,W,3,"SAN DIEGO","SAN DIEGO",2014
6337491,1,1,4,M,7,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6337511,1,1,4,F,31,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6337525,2,1,4,F,24,4,1,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6337541,1,1,4,-,53,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6341081,2,1,4,F,17,3,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6341117,1,1,4,M,24,3,9,V,-,1,"SAN DIEGO","SAN DIEGO",2014
6344815,1,1,4,M,26,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6351400,1,1,4,F,20,4,9,P,M,0,"SAN DIEGO","SAN DIEGO",2016
6351412,1,1,4,F,14,3,1,-,V,3,"SAN DIEGO","SAN DIEGO",2016
6351412,2,1,2,F,998,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2016
6351412,2,2,2,M,998,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2016
6352416,1,1,4,M,52,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6352443,1,1,4,M,49,3,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6352443,2,1,2,M,21,0,3,M,G,3,"SAN DIEGO","SAN DIEGO",2014
6352448,1,1,4,M,53,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6352455,1,1,4,F,39,3,1,V,-,3,"SAN DIEGO","SAN DIEGO",2014
6352455,1,2,2,F,1,3,0,Y,Q,3,"SAN DIEGO","SAN DIEGO",2014
6352472,1,1,4,F,17,4,0,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6352476,1,1,4,M,25,3,1,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6352660,1,1,4,F,16,3,9,-,-,1,"SAN DIEGO","SAN DIEGO",2016
6353287,1,1,4,F,13,4,9,V,-,1,"SAN DIEGO","SAN DIEGO",2016
6353397,1,1,3,M,63,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6353397,2,1,4,M,57,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6353409,2,1,4,M,28,3,9,W,-,1,"SAN DIEGO","SAN DIEGO",2014
6359294,1,1,4,M,50,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6370205,2,1,4,M,40,4,9,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6373001,1,1,4,M,21,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6373219,1,1,2,F,21,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6373219,2,1,4,M,28,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6373247,1,1,4,M,37,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6373275,1,1,4,M,57,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6376513,1,1,4,M,61,3,1,M,V,3,"SAN DIEGO","SAN DIEGO",2014
6376644,1,1,4,M,21,4,9,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6376656,1,1,4,M,38,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6376660,1,1,4,M,18,4,9,-,V,3,"SAN DIEGO","SAN DIEGO",2014
6381870,1,1,4,M,49,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6381870,2,1,2,F,65,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6381882,2,1,4,M,54,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6381885,1,1,2,F,0,0,4,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6381885,1,2,2,M,3,0,6,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6381885,1,3,2,F,20,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6381885,2,1,4,M,53,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6381901,1,1,4,M,62,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6389570,1,1,4,M,48,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6400194,2,1,4,M,61,3,1,M,W,0,"SAN DIEGO","SAN DIEGO",2014
6400297,1,1,4,M,51,3,1,W,-,1,"SAN DIEGO","SAN DIEGO",2014
6400305,1,1,4,F,47,4,1,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6400326,1,1,4,F,46,3,1,W,-,1,"SAN DIEGO","SAN DIEGO",2014
6401491,1,1,4,M,20,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6401503,2,1,4,F,26,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6405979,2,1,4,M,27,4,1,W,-,1,"SAN DIEGO","SAN DIEGO",2014
6405991,2,1,4,M,23,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6408471,2,1,2,M,3,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6408471,2,2,4,M,34,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6414019,1,1,4,F,47,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6414111,1,1,4,M,16,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6417345,1,1,4,M,50,3,1,P,-,1,"SAN DIEGO","SAN DIEGO",2014
6417365,1,1,4,M,71,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6417401,1,1,4,-,23,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6417430,1,1,4,M,26,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2014
6417434,2,1,4,M,58,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6418228,2,1,4,M,38,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6418269,1,1,4,F,49,3,9,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6418305,2,1,4,M,53,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6418317,1,1,4,M,54,3,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6418574,2,1,4,M,18,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6419110,1,1,2,M,24,0,3,M,B,0,"SAN DIEGO","SAN DIEGO",2014
6419110,2,1,4,M,32,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6419953,1,1,2,M,85,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6419953,2,1,4,M,46,4,1,-,-,1,"SAN DIEGO","SAN DIEGO",2014
6422198,1,1,2,M,49,0,3,N,F,0,"SAN DIEGO","SAN DIEGO",2014
6422198,2,1,4,M,30,3,1,N,W,2,"SAN DIEGO","SAN DIEGO",2014
6424699,1,1,4,F,48,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6424699,2,1,4,M,46,3,1,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6424705,1,1,4,M,11,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6424705,2,1,2,F,32,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6424705,2,2,2,F,11,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6424705,2,3,2,F,21,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6424787,1,1,4,M,62,4,1,-,W,3,"SAN DIEGO","SAN DIEGO",2014
6424988,1,1,4,M,28,3,1,-,V,1,"SAN DIEGO","SAN DIEGO",2014
6428570,2,1,4,M,51,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2014
6428574,1,1,4,M,27,4,0,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6428574,2,1,2,F,6,0,6,P,B,0,"SAN DIEGO","SAN DIEGO",2014
6428606,2,1,4,M,47,3,9,P,W,3,"SAN DIEGO","SAN DIEGO",2014
6429439,1,1,4,M,22,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6429619,1,1,4,F,52,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6429619,2,1,4,M,53,2,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6429621,2,1,3,M,76,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2014
6429630,1,1,2,M,25,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6429630,2,1,4,M,21,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6429634,1,1,2,M,6,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6429634,2,1,4,M,49,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6433215,1,1,4,M,58,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6433215,2,1,2,M,1,0,9,M,Q,0,"SAN DIEGO","SAN DIEGO",2014
6435254,2,1,4,M,29,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6439778,1,1,4,M,22,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6439779,1,1,4,F,60,4,9,-,X,3,"SAN DIEGO","SAN DIEGO",2014
6439787,2,1,4,M,57,4,0,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6439813,1,1,4,M,63,3,9,-,V,1,"SAN DIEGO","SAN DIEGO",2014
